//コマンド,パラメータ1,パラメータ2,パラメータ3
POP,10,0,-1
POP,10,0,-3
POP,10,0,-5
POP,10,0,-7
POP,10,0,-9
POP,10,0,-11
POP,10,0,-13
POP,10,0,-15
POP,10,0,-17
POP,10,0,-19
POP,10,0,-21
POP,10,0,-23
POP,10,0,-25
POP,10,0,-27
POP,10,0,-29
POP,10,0,-31
POP,10,0,-33
POP,10,0,-35
POP,10,0,-37
POP,10,0,-39
POP,10,0,-41
POP,10,0,-43
POP,10,0,-45
POP,10,0,-47
POP,10,0,-49
POP,10,0,1
POP,10,0,3
POP,10,0,5
POP,10,0,7
POP,10,0,9
POP,10,0,11
POP,10,0,13
POP,10,0,15
POP,10,0,17
POP,10,0,19
POP,10,0,21
POP,10,0,23
POP,10,0,25
POP,10,0,27
POP,10,0,29
POP,10,0,31
POP,10,0,33
POP,10,0,35
POP,10,0,37
POP,10,0,39
POP,10,0,41
POP,10,0,43
POP,10,0,45
POP,10,0,47
POP,10,0,49
POP,-10,0,-1
POP,-10,0,-3
POP,-10,0,-5
POP,-10,0,-7
POP,-10,0,-9
POP,-10,0,-11
POP,-10,0,-13
POP,-10,0,-15
POP,-10,0,-17
POP,-10,0,-19
POP,-10,0,-21
POP,-10,0,-23
POP,-10,0,-25
POP,-10,0,-27
POP,-10,0,-29
POP,-10,0,-31
POP,-10,0,-33
POP,-10,0,-35
POP,-10,0,-37
POP,-10,0,-39
POP,-10,0,-41
POP,-10,0,-43
POP,-10,0,-45
POP,-10,0,-47
POP,-10,0,-49
POP,-10,0,1
POP,-10,0,3
POP,-10,0,5
POP,-10,0,7
POP,-10,0,9
POP,-10,0,11
POP,-10,0,13
POP,-10,0,15
POP,-10,0,17
POP,-10,0,19
POP,-10,0,21
POP,-10,0,23
POP,-10,0,25
POP,-10,0,27
POP,-10,0,29
POP,-10,0,31
POP,-10,0,33
POP,-10,0,35
POP,-10,0,37
POP,-10,0,39
POP,-10,0,41
POP,-10,0,43
POP,-10,0,45
POP,-10,0,47
POP,-10,0,49
POP,8,0,-19
POP,-8,0,-19
POP,-6,0,-19
POP,-4,0,-19
POP,-2,0,-19
POP,0,0,-19
POP,8,0,-21
POP,-8,0,-21
POP,-6,0,-21
POP,-4,0,-21
POP,-2,0,-21
POP,0,0,-21
POP,8,0,-17
POP,-8,0,-17
POP,-6,0,-17
POP,-4,0,-17
POP,-2,0,-17
POP,0,0,-17
POP,-4,0,-4
POP,-2,0,-4
POP,0,0,-4
POP,2,0,-4
POP,-4,0,-2
POP,-2,0,-2
POP,0,0,-2
POP,2,0,-2
POP,-4,0,0
POP,-2,0,0
POP,0,0,0
POP,2,0,0
POP,-4,0,2
POP,-2,0,2
POP,0,0,2
POP,2,0,2
POP,-4,0,4
POP,-2,0,4
POP,0,0,4
POP,2,0,4
POP,-2,0,22
POP,0,0,22
POP,2,0,22
POP,-2,0,24
POP,0,0,24
POP,2,0,24
POP,-2,0,26
POP,0,0,26
POP,2,0,26
POP,-2,0,28
POP,0,0,28
POP,2,0,28
POP,-2,0,30
POP,0,0,30
POP,2,0,30
POP,-2,0,32
POP,0,0,32
POP,2,0,32
POP,-2,0,34
POP,0,0,34
POP,2,0,34
POP,-2,0,36
POP,0,0,36
POP,2,0,36
